id_colaborador,nome,sexo_biologico,idade,cargo,nota_desempenho,remuneracao
CON000192,Luna Costela,Feminino,52,Consultor(a) de vendas,Regular,8749.67
CON000193,Mariane Carvalho,Feminino,35,Consultor(a) de vendas,Bom,10203.66
CON000194,Nicole Pires,Feminino,28,Consultor(a) de vendas,Bom,9474.74
CON000195,Ravi Moreira,Masculino,51,Consultor(a) de vendas,Regular,9382.59
CON000196,Vicente Sales,Masculino,55,Consultor(a) de vendas,Insuficiente,8654.31
CON000197,Elisa Garcia,Feminino,29,Consultor(a) de vendas,Excelente,11450.5
CON000198,Maysa Mendonça,Feminino,33,Consultor(a) de vendas,Regular,8568.5
CON000199,Sarah Rocha,Feminino,25,Consultor(a) de vendas,Excelente,11087.67
CON000200,Ana Sophia Brito,Feminino,29,Consultor(a) de vendas,Bom,9612.18
CON000201,Daniela Nunes,Feminino,28,Consultor(a) de vendas,Bom,10714.53
CON000202,Theodoro Monteiro,Masculino,39,Consultor(a) de vendas,Regular,10547.27
CON000203,Joaquim Farias,Masculino,40,Consultor(a) de vendas,Regular,11515.33
CON000204,Ana Beatriz Araújo,Feminino,36,Consultor(a) de vendas,Bom,8626.74
CON000205,Marcela Costela,Feminino,32,Consultor(a) de vendas,Regular,8891.9
CON000206,Pedro Lucas Barbosa,Masculino,25,Consultor(a) de vendas,Bom,11053.78
CON000207,Cauã Marques,Masculino,28,Consultor(a) de vendas,Bom,10980.42
CON000208,Isadora da Cruz,Feminino,25,Consultor(a) de vendas,Regular,8973.51
CON000209,Apollo Moreira,Masculino,34,Consultor(a) de vendas,Bom,9505.25
CON000210,Augusto da Mota,Masculino,48,Consultor(a) de vendas,Bom,11945.43
CON000211,Yuri Abreu,Masculino,25,Consultor(a) de vendas,Regular,10951.98
CON000212,Emilly Sales,Feminino,26,Consultor(a) de vendas,Regular,9928.51
CON000213,Bárbara Pinto,Feminino,40,Consultor(a) de vendas,Regular,9625.17
CON000214,Otto da Rosa,Masculino,34,Consultor(a) de vendas,Bom,12081.14
CON000215,Ísis da Paz,Feminino,35,Consultor(a) de vendas,Bom,10426.76
CON000216,Cauã Barros,Masculino,36,Consultor(a) de vendas,Regular,10638.45
CON000217,Matteo Melo,Masculino,40,Consultor(a) de vendas,Bom,10588.92
CON000218,Maysa Lima,Feminino,28,Consultor(a) de vendas,Regular,9066.64
CON000219,Marcela Rocha,Feminino,37,Consultor(a) de vendas,Regular,9961.88
CON000220,Lavínia Ribeiro,Feminino,25,Consultor(a) de vendas,Regular,8404.97
CON000221,Antonella Moura,Feminino,26,Consultor(a) de vendas,Bom,10710.75
CON000222,Letícia Ramos,Feminino,33,Consultor(a) de vendas,Insuficiente,8031.79
CON000223,Luiz Felipe da Luz,Masculino,42,Consultor(a) de vendas,Regular,10624.54
CON000224,João Miguel Martins,Masculino,52,Consultor(a) de vendas,Regular,11411.5
CON000225,Liam Aragão,Masculino,33,Consultor(a) de vendas,Regular,11725.73
CON000226,Arthur Gabriel Lopes,Masculino,52,Consultor(a) de vendas,Excelente,12537.63
CON000227,Bárbara Vasconcelos,Feminino,25,Consultor(a) de vendas,Bom,10445.52
CON000228,Davi Miguel da Mota,Masculino,50,Consultor(a) de vendas,Regular,9110.94
CON000229,Antonella Vieira,Feminino,38,Consultor(a) de vendas,Bom,8466.37
CON000230,Ana Laura Porto,Feminino,25,Consultor(a) de vendas,Bom,8376.57
CON000231,Nicole Sampaio,Feminino,33,Consultor(a) de vendas,Bom,10612.35
CON000232,Apollo Guerra,Masculino,36,Consultor(a) de vendas,Bom,11804.56
CON000233,Olívia Jesus,Feminino,36,Consultor(a) de vendas,Regular,9448.8
CON000234,Samuel Cardoso,Masculino,35,Consultor(a) de vendas,Insuficiente,11018.15
CON000235,Francisco Melo,Masculino,34,Consultor(a) de vendas,Bom,9660.41
CON000236,Bárbara das Neves,Feminino,44,Consultor(a) de vendas,Regular,9455.41
CON000237,Josué Alves,Masculino,36,Consultor(a) de vendas,Regular,11193.56
CON000238,Lorenzo Pastor,Masculino,45,Consultor(a) de vendas,Regular,10390.43
CON000239,Rebeca Gomes,Feminino,28,Consultor(a) de vendas,Excelente,11988.4
CON000240,Bryan Cassiano,Masculino,54,Consultor(a) de vendas,Regular,10936.75
CON000241,Stella Melo,Feminino,25,Consultor(a) de vendas,Insuficiente,10327.53
CON000242,Sara Rocha,Feminino,25,Consultor(a) de vendas,Bom,8536.39
CON000243,Lívia Dias,Feminino,45,Consultor(a) de vendas,Regular,8943.05
CON000244,Luigi Cunha,Masculino,33,Consultor(a) de vendas,Insuficiente,9417.93
CON000245,Theo Sousa,Masculino,53,Consultor(a) de vendas,Regular,9684.65
INT000246,Rebeca Vieira,Feminino,39,Inteligência comercial,Regular,10462.84
INT000247,Valentim Cunha,Masculino,35,Inteligência comercial,Insuficiente,10541.88
INT000248,Esther Jesus,Feminino,25,Inteligência comercial,Excelente,9298.51
INT000249,Stephany Santos,Feminino,30,Inteligência comercial,Insuficiente,8033.21
INT000250,Zoe Santos,Feminino,31,Inteligência comercial,Bom,9375.5
INT000251,Gael Henrique Jesus,Masculino,49,Inteligência comercial,Bom,12044.16
INT000252,Otávio Silva,Masculino,53,Inteligência comercial,Regular,9946.5
INT000253,Marina Peixoto,Feminino,25,Inteligência comercial,Excelente,9330.67
INT000254,Rael Pastor,Masculino,45,Inteligência comercial,Bom,11778.06
INT000255,Luiz Otávio Nascimento,Masculino,45,Inteligência comercial,Excelente,12014.1
INT000256,Fernanda Santos,Feminino,41,Inteligência comercial,Excelente,11617.18
INT000257,Kamilly da Costa,Feminino,35,Inteligência comercial,Bom,8946.12
INT000258,Clarice Campos,Feminino,25,Inteligência comercial,Insuficiente,10233.66
INT000259,Cecília Gonçalves,Feminino,28,Inteligência comercial,Excelente,10934.57
INT000260,Davi Correia,Masculino,25,Inteligência comercial,Regular,10509.82
INT000261,Alice Almeida,Feminino,28,Inteligência comercial,Regular,8700.4
INT000262,Bárbara da Rosa,Feminino,40,Inteligência comercial,Excelente,8897.72
INT000263,Rael da Mota,Masculino,40,Inteligência comercial,Insuficiente,8547.57
INT000264,Luiz Miguel Moura,Masculino,48,Inteligência comercial,Insuficiente,8613.64
INT000265,Emanuelly da Cruz,Feminino,33,Inteligência comercial,Bom,9125.99
INT000266,Maria Helena Lima,Feminino,25,Inteligência comercial,Insuficiente,8521.34
INT000267,Ana Laura Brito,Feminino,25,Inteligência comercial,Regular,8466.17
INT000268,Eloah Cavalcante,Feminino,31,Inteligência comercial,Bom,10251.07
INT000269,João Pedro Carvalho,Masculino,35,Inteligência comercial,Regular,10954.2
INT000270,Lucas Pacheco,Masculino,27,Inteligência comercial,Regular,11224.44
INT000271,Maria Liz Correia,Feminino,25,Inteligência comercial,Regular,10769.78
INT000272,Maria Laura Brito,Feminino,25,Inteligência comercial,Regular,9248.76
INT000273,Luara Costa,Feminino,28,Inteligência comercial,Bom,10761.47
INT000274,Ana Júlia Fogaça,Feminino,37,Inteligência comercial,Insuficiente,8940.34
INT000275,Davi Luiz Camargo,Masculino,39,Inteligência comercial,Insuficiente,9714.67
INT000276,Isaque da Cunha,Masculino,53,Inteligência comercial,Regular,11378.71
INT000277,Ana Cecília Camargo,Feminino,25,Inteligência comercial,Excelente,10724.81
INT000278,Pietra Pires,Feminino,39,Inteligência comercial,Regular,8845.53
INT000279,Joana Mendes,Feminino,30,Inteligência comercial,Regular,8577.67
INT000280,Luísa Cavalcanti,Feminino,37,Inteligência comercial,Insuficiente,9411.94
INT000281,Sarah Barbosa,Feminino,26,Inteligência comercial,Insuficiente,9518.53
INT000282,André Ferreira,Masculino,48,Inteligência comercial,Insuficiente,9084.42
INT000283,Vinícius Barros,Masculino,40,Inteligência comercial,Bom,11861.95
INT000284,Arthur Miguel Pimenta,Masculino,30,Inteligência comercial,Insuficiente,9925.88
INT000285,Ana Cecília Barbosa,Feminino,30,Inteligência comercial,Excelente,10176.9
INT000286,Vitor Hugo Araújo,Masculino,35,Inteligência comercial,Bom,10225.15
INT000287,João Miguel Pacheco,Masculino,42,Inteligência comercial,Excelente,12516.66
INT000288,Bruno Pacheco,Masculino,25,Inteligência comercial,Insuficiente,10907.26
INT000289,Augusto Caldeira,Masculino,37,Inteligência comercial,Insuficiente,9129.06
INT000290,Lorena Pinto,Feminino,34,Inteligência comercial,Bom,8427.85
INT000291,Theo Abreu,Masculino,37,Inteligência comercial,Bom,10351.96
INT000292,Luiz Miguel Jesus,Masculino,50,Inteligência comercial,Insuficiente,8478.27
INT000293,Alice da Rocha,Feminino,38,Inteligência comercial,Regular,9535.25
INT000294,Oliver Abreu,Masculino,37,Inteligência comercial,Bom,11410.13
INT000295,Luiz Henrique Santos,Masculino,39,Inteligência comercial,Regular,11691.61
INT000296,Arthur Gabriel Ferreira,Masculino,40,Inteligência comercial,Regular,11609.26
INT000297,Maria Liz Silveira,Feminino,34,Inteligência comercial,Insuficiente,10552.72
INT000298,Ravi Lucca Correia,Masculino,25,Inteligência comercial,Bom,11215.79
INT000299,Ana Liz Gonçalves,Feminino,27,Inteligência comercial,Excelente,9854.24
INT000300,Pedro Miguel da Conceição,Masculino,25,Inteligência comercial,Excelente,12341.91
INT000301,Vitor Gabriel da Rosa,Masculino,50,Inteligência comercial,Excelente,11097.47
INT000302,Luiz Henrique Porto,Masculino,36,Inteligência comercial,Regular,11613.5
INT000303,Anthony Gabriel da Costa,Masculino,35,Inteligência comercial,Insuficiente,8591.84
INT000304,Laura Rezende,Feminino,39,Inteligência comercial,Regular,10633.38
INT000305,Sara Novais,Feminino,34,Inteligência comercial,Insuficiente,8308.01
INT000306,Ana Clara Pereira,Feminino,25,Inteligência comercial,Insuficiente,8876.59
INT000307,Nathan Silveira,Masculino,36,Inteligência comercial,Bom,11905.5
INT000308,Davi Lucca Novaes,Masculino,34,Inteligência comercial,Bom,11051.46
INT000309,Maria Júlia Barros,Feminino,25,Inteligência comercial,Regular,9184.26
INT000310,Marcelo da Mata,Masculino,30,Inteligência comercial,Excelente,11106.94
INT000311,Pietro Gomes,Masculino,35,Inteligência comercial,Regular,10234.81
INT000312,Luiz Fernando Nogueira,Masculino,36,Inteligência comercial,Bom,10881.96
INT000313,Théo Garcia,Masculino,25,Inteligência comercial,Regular,9684.35
INT000314,Alexia da Cruz,Feminino,42,Inteligência comercial,Regular,10557.85
INT000315,Luara Abreu,Feminino,29,Inteligência comercial,Bom,9885.21
INT000316,Laura Martins,Feminino,30,Inteligência comercial,Regular,8640.73
INT000317,Lucas Gabriel Moreira,Masculino,41,Inteligência comercial,Bom,10924.68
INT000318,Pedro Henrique Araújo,Masculino,29,Inteligência comercial,Excelente,11839.85
INT000319,Léo Carvalho,Masculino,42,Inteligência comercial,Regular,10371.51
INT000320,Nathan Farias,Masculino,33,Inteligência comercial,Bom,11813.54
INT000321,Renan Nogueira,Masculino,28,Inteligência comercial,Insuficiente,10431.65
INT000322,Ana Cecília Pereira,Feminino,36,Inteligência comercial,Excelente,10302.68
INT000323,Maria Flor Vasconcelos,Feminino,45,Inteligência comercial,Regular,8575.71
INT000324,Danilo Cardoso,Masculino,44,Inteligência comercial,Regular,11839.1
INT000325,Alana Silva,Feminino,39,Inteligência comercial,Excelente,10013.48
INT000326,Maria Flor Peixoto,Feminino,25,Inteligência comercial,Bom,8897.67
INT000327,Aurora Dias,Feminino,25,Inteligência comercial,Regular,11103.03
INT000328,Ayla Sales,Feminino,45,Inteligência comercial,Bom,9817.77
INT000329,Theo das Neves,Masculino,58,Inteligência comercial,Excelente,12826.99
INT000330,Cauê Campos,Masculino,52,Inteligência comercial,Regular,11404.18
INT000331,Isaque Guerra,Masculino,34,Inteligência comercial,Excelente,12522.53
INT000332,Mariana Rezende,Feminino,25,Inteligência comercial,Regular,10168.63
INT000333,Otávio Cassiano,Masculino,26,Inteligência comercial,Insuficiente,10535.44
INT000334,Bento Novais,Masculino,25,Inteligência comercial,Excelente,12920.2
